kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
292,1,174,5959,174,1,292,5959,173,1,520,0,3,0,9,6,0,4,8,1445,5,10,0,6,13,0,0,15,404,0
292,1,174,5959,174,1,292,5959,173,1,520,0,3,0,9,6,0,4,8,1445,5,10,0,6,13,0,0,15,404,0
749,2,454,6061,454,2,749,6061,452,1,353,0,3,0,56,6,0,10,8,1061,1,10,88,1,13,0,1,15,907,0
326,2,196,6012,195,2,326,6012,194,1,567,0,3,0,16,6,0,5,8,1237,1,10,0,1,13,51,1,15,721,0
178,1,109,6124,109,1,178,6124,109,1,1100,0,3,0,3,6,0,2,8,2018,1,10,0,3,13,0,0,15,917,0
178,1,109,6124,109,1,178,6124,109,1,1100,0,3,0,3,6,0,2,8,2018,1,10,0,3,13,0,0,15,917,0
617,1,376,6094,375,1,617,6094,374,1,935,0,3,0,24,6,0,14,8,1176,0,10,106,4,13,0,0,15,935,0
617,1,376,6094,375,1,617,6094,374,1,935,0,3,0,24,6,0,14,8,1176,0,10,106,4,13,0,0,15,935,0
191,1,90,4712,89,1,191,4712,88,1,340,0,3,0,1,6,0,4,8,2045,0,10,0,0,13,0,0,15,454,0
191,1,90,4712,89,1,191,4712,88,1,340,0,3,0,1,6,0,4,8,2045,0,10,0,0,13,0,0,15,454,0
524,3,340,6489,339,3,524,6489,336,1,476,1,3,0,34,6,0,14,8,1250,2,10,208,4,13,0,1,15,892,0
390,1,238,6103,238,1,390,6103,237,1,1350,0,3,0,7,6,0,1,8,1518,1,10,126,0,13,0,0,15,632,0
390,1,238,6103,238,1,390,6103,237,1,1350,0,3,0,7,6,0,1,8,1518,1,10,126,0,13,0,0,15,632,0
246,1,139,5650,139,1,246,5650,139,1,431,2,3,0,9,6,0,4,8,1007,0,10,287,0,13,0,2,15,359,0
246,1,139,5650,139,1,246,5650,139,1,431,2,3,0,9,6,0,4,8,1007,0,10,287,0,13,0,2,15,359,0
289,1,140,4844,140,1,289,4844,140,1,500,3,3,0,17,6,0,2,8,1214,0,10,214,2,13,0,2,15,642,0
289,1,140,4844,140,1,289,4844,140,1,500,3,3,0,17,6,0,2,8,1214,0,10,214,2,13,0,2,15,642,0
654,1,355,5428,355,1,654,5428,354,1,367,2,3,0,17,6,28,7,8,1723,1,10,0,5,13,28,0,15,875,0
654,1,355,5428,355,1,654,5428,354,1,367,2,3,0,17,6,28,7,8,1723,1,10,0,5,13,28,0,15,875,0
238,1,165,6933,165,1,238,6933,165,1,363,0,3,0,20,6,0,5,8,2000,3,10,0,0,13,60,1,15,606,0
238,1,165,6933,165,1,238,6933,165,1,363,0,3,0,20,6,0,5,8,2000,3,10,0,0,13,60,1,15,606,0
2 285,6,1393,6096,1390,6,2285,6096,1358,1,670,3,3,0,158,6,14,69,8,1134,14,10,58,15,13,0,1,15,692,2
2 302,2,1334,5795,1334,2,2302,5795,1323,1,733,0,3,0,130,6,7,47,8,650,22,10,68,10,13,0,5,15,846,2
232,1,152,6552,152,1,232,6552,151,1,264,0,3,0,14,6,66,3,8,1655,1,10,0,3,13,0,0,15,331,0
232,1,152,6552,152,1,232,6552,151,1,264,0,3,0,14,6,66,3,8,1655,1,10,0,3,13,0,0,15,331,0
1 257,1,807,6420,807,1,1257,6420,804,1,1194,1,3,24,53,6,24,39,8,708,5,10,111,4,13,24,0,15,858,0
1 257,1,807,6420,807,1,1257,6420,804,1,1194,1,3,24,53,6,24,39,8,708,5,10,111,4,13,24,0,15,858,0
465,1,284,6108,284,1,465,6108,284,1,774,0,3,0,30,6,35,8,8,1197,1,10,0,0,13,35,0,15,774,0
465,1,284,6108,284,1,465,6108,284,1,774,0,3,0,30,6,35,8,8,1197,1,10,0,0,13,35,0,15,774,0
487,2,335,6879,335,2,487,6879,334,1,449,1,3,0,18,6,29,9,8,898,3,10,0,5,13,0,0,15,688,0
320,1,196,6125,196,1,320,6125,194,1,1134,1,3,0,10,6,0,2,8,876,7,10,103,5,13,0,0,15,567,2
320,1,196,6125,196,1,320,6125,194,1,1134,1,3,0,10,6,0,2,8,876,7,10,103,5,13,0,0,15,567,2
615,3,450,7317,450,3,615,7317,449,1,534,0,3,0,39,6,0,16,8,1135,1,10,22,4,13,0,0,15,467,0
480,4,239,4979,239,4,480,4979,239,1,460,0,3,0,25,6,0,11,8,1171,0,10,83,3,13,0,0,15,418,0
309,1,185,5987,185,1,309,5987,185,1,972,0,3,162,19,6,0,13,8,1243,3,10,54,0,13,0,0,15,378,0
309,1,185,5987,185,1,309,5987,185,1,972,0,3,162,19,6,0,13,8,1243,3,10,54,0,13,0,0,15,378,0
422,1,226,5355,226,1,422,5355,223,1,358,0,3,0,20,6,0,22,8,1748,2,10,89,1,13,0,0,15,403,0
422,1,226,5355,226,1,422,5355,223,1,358,0,3,0,20,6,0,22,8,1748,2,10,89,1,13,0,0,15,403,0
1 248,1,842,6747,840,1,1248,6747,836,1,1172,1,3,11,55,6,0,23,8,705,7,10,23,3,13,0,2,15,693,0
1 248,1,842,6747,840,1,1248,6747,836,1,1172,1,3,11,55,6,0,23,8,705,7,10,23,3,13,0,2,15,693,0
569,3,371,6520,371,3,569,6520,370,1,837,0,3,0,31,6,0,10,8,1459,2,10,81,0,13,54,0,15,1270,0
1 612,2,942,5844,942,2,1612,5844,939,1,841,1,3,42,96,6,0,23,8,1171,6,10,63,4,13,31,1,15,468,3
1 140,1,619,5430,618,1,1140,5430,615,1,829,2,3,0,56,6,0,27,8,943,4,10,97,2,13,16,1,15,569,1
