kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
384,1,241,6276,241,1,384,6276,240,1,875,2,4,375,11,8,375,1,10,83,2,13,0,0,15,1333
384,1,241,6276,241,1,384,6276,240,1,875,2,4,375,11,8,375,1,10,83,2,13,0,0,15,1333
1 816,3,1039,5721,1038,3,1816,5721,1027,1,1265,7,4,759,44,8,759,6,10,58,11,13,0,2,15,1499
127,1,67,5276,67,1,127,5276,66,1,757,0,4,303,11,8,1666,1,10,151,0,13,0,0,15,606
127,1,67,5276,67,1,127,5276,66,1,757,0,4,303,11,8,1666,1,10,151,0,13,0,0,15,606
104,1,72,6923,72,1,104,6923,72,1,138,2,4,694,2,8,1111,0,10,416,0,13,138,0,15,1388
104,1,72,6923,72,1,104,6923,72,1,138,2,4,694,2,8,1111,0,10,416,0,13,138,0,15,1388
168,1,102,6071,102,1,168,6071,102,1,294,0,4,196,4,8,1274,0,10,196,1,13,0,0,15,588
168,1,102,6071,102,1,168,6071,102,1,294,0,4,196,4,8,1274,0,10,196,1,13,0,0,15,588
274,1,165,6022,165,1,274,6022,164,1,1646,0,4,304,9,8,609,0,10,0,2,13,0,0,15,1219
274,1,165,6022,165,1,274,6022,164,1,1646,0,4,304,9,8,609,0,10,0,2,13,0,0,15,1219
